name
MI Canastilla
Universal
Fenix
Textilera Desembarco del Granma
Labiofam
Gases Industriales
Emp. Calzado
Geominera
MI Eden
MI Ultra
MI La Francia
MI La Perla
UEB Villa Clara Muebles
EES Emp. Indust. Equipo y Serv.
EES Emp. Prov. Serv. Tecn. Pers. y del Hogar
MI El Canes
Emp. Prov. Artes Gráficas
MI Yabu
MI El Arco
MI Viveres 8 de octubre
MI Los Bebitos
Emp. Electroquímica de Sagua
MI La Campana
Emp. Aseguramiento al Comercio
MI El Cohete
MI Comercial Condado
Emp. Const. Obras de Arquitectura
MI Gomera
MI El Constructor
Emp. Marmoles del Centro
EES EIESA UEB Villa Clara
Emp. Prov. Producciones Varias
Emp. Vidrios Lisa
El Dorado
MI Estrella Roja
UEB Gases Villa Clara
MI Escambray
MI El Triunfo
COPEXTEL
Manajanabo
Emp. Comercio
Minerva
MI Amanecer
MI Caracatey
1ro Mayo
Dorado
Geominera Holguin
MI Hatillo
Emp. Prov. Conf. CALCONF
America Latina
MI Capiro
Emp. Comercial Cemento UEB VC
Emp. Prov. de Plastico Artificios Pirotecnicos y Textiles
MI Comercial Sagua
MI Moderna
Empresa Recuperacion de Materias Primas
Encomil
Zoraida Aguilera Barreras
COMBELL
UEB Calzado Jose Luis Chaviano
Hospital Psiquiatrico
Fondo Cubano de Bienes Culturales
Emp. Carpinteria de Aluminio Villalco
Almacen de la Empresa
Apertura del Sistema
Calconf
MI Sierra Maestra
MI 12 Plantas
MI El Caney
Ernesto Martin Mondeja
La Aurora
EMCOPLAST SURL IRCC
CABELLOS SOCIEDAD UNIPERSONAL
MI Guama
Taller de REfrigeracion
Oferta y Demanda
Servicio
UEB Cocina Centralizada
UEB 3
Dir. Mcpal. Trabajo y Seguridad Social
Inder
Centro de Elaboracion Vigia
Aojamiento Las Tecas
UB 3
MI El Taladro
MI America Latina
SURL Construcciones T-R
Hospital Arnaldo Millian Castro
Casita infantil Amiguitos del Comercio
CPT Alexei Arteaga
Servicio
MI de Viveres Mi Casa
Empresa Comercio y Gast. Sagua la G
UAAAI Dep. Ad. Prov. VC
Emp. Mtto. a Grupos Electrogenos
Escuela de economia
Frutas Selectas
Villaplast
Empresa de Correos
